Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
3/31/2021,76,61,68.5,2.3,0,4,T,0,0
3/30/2021,80,61,70.5,4.5,0,6,T,0,0
3/29/2021,75,47,61,-4.8,4,0,0,0,0
3/28/2021,76,53,64.5,-1.1,0,0,0.03,0,0
3/27/2021,88,66,77,11.6,0,12,T,0,0
3/26/2021,85,48,66.5,1.4,0,2,0,0,0
3/25/2021,78,55,66.5,1.6,0,2,T,0,0
3/24/2021,77,54,65.5,0.8,0,1,0.02,0,0
3/23/2021,83,51,67,2.5,0,2,0.39,0,0
3/22/2021,73,57,65,0.8,0,0,0,0,0
3/21/2021,74,45,59.5,-4.5,5,0,0,0,0
3/20/2021,71,42,56.5,-7.3,8,0,0,0,0
3/19/2021,72,46,59,-4.5,6,0,0,0,0
3/18/2021,75,49,62,-1.3,3,0,0,0,0
3/17/2021,81,57,69,5.9,0,4,0.02,0,0
3/16/2021,84,65,74.5,11.7,0,10,0,0,0
3/15/2021,84,44,64,1.4,1,0,0,0,0
3/14/2021,80,52,66,3.7,0,1,0.05,0,0
3/13/2021,78,67,72.5,10.4,0,8,0.07,0,0
3/12/2021,80,68,74,12.1,0,9,T,0,0
3/11/2021,79,66,72.5,10.9,0,8,0,0,0
3/10/2021,82,64,73,11.6,0,8,0,0,0
3/9/2021,77,58,67.5,6.3,0,3,T,0,0
3/8/2021,72,48,60,-0.9,5,0,T,0,0
3/7/2021,70,45,57.5,-3.2,7,0,0,0,0
3/6/2021,68,50,59,-1.4,6,0,0,0,0
3/5/2021,81,56,68.5,8.3,0,4,0,0,0
3/4/2021,75,45,60,0,5,0,0,0,0
3/3/2021,71,38,54.5,-5.3,10,0,0,0,0
3/2/2021,67,42,54.5,-5,10,0,0,0,0
3/1/2021,62,51,56.5,-2.8,8,0,T,0,0
2/28/2021,75,62,68.5,9.4,0,4,0.02,0,0
2/27/2021,76,58,67,8.1,0,2,0.02,0,0
2/26/2021,61,50,55.5,-3.1,9,0,T,0,0
2/25/2021,66,55,60.5,2.1,4,0,0.05,0,0
2/24/2021,78,63,70.5,12.3,0,6,0,0,0
2/23/2021,78,44,61,3,4,0,0,0,0
2/22/2021,74,45,59.5,1.7,5,0,T,0,0
2/21/2021,73,44,58.5,0.9,6,0,0,0,0
2/20/2021,60,26,43,-14.3,22,0,0,0,1
2/19/2021,46,19,32.5,-24.6,32,0,0,0,3
2/18/2021,32,28,30,-26.9,35,0,0.07,2.5,T
2/17/2021,45,24,34.5,-22.2,30,0,0.13,0,2
2/16/2021,26,12,19,-37.5,46,0,0.07,0,2
2/15/2021,28,9,18.5,-37.8,46,0,0.08,2.5,4
2/14/2021,30,13,21.5,-34.6,43,0,0.07,1.2,1
2/13/2021,32,29,30.5,-25.4,34,0,0.01,0,0
2/12/2021,36,31,33.5,-22.2,31,0,T,0,0
2/11/2021,40,33,36.5,-19.1,28,0,0.86,0,0
2/10/2021,54,40,47,-8.4,18,0,T,0,0
2/9/2021,79,54,66.5,11.3,0,2,0,0,0
2/8/2021,76,50,63,8,2,0,0,0,0
2/7/2021,71,39,55,0.2,10,0,0,0,0
2/6/2021,78,50,64,9.4,1,0,T,0,0
2/5/2021,57,46,51.5,-3,13,0,T,0,0
2/4/2021,80,57,68.5,14.2,0,4,T,0,0
2/3/2021,76,42,59,4.9,6,0,0,0,0
2/2/2021,66,39,52.5,-1.5,12,0,0,0,0
2/1/2021,68,42,55,1.2,10,0,0,0,0
1/31/2021,73,45,59,5.4,6,0,0,0,0
1/30/2021,76,50,63,9.5,2,0,0,0,0
1/29/2021,69,38,53.5,0.2,11,0,0,0,0
1/28/2021,57,36,46.5,-6.7,18,0,0,0,0
1/27/2021,67,45,56,3,9,0,0,0,0
1/26/2021,76,46,61,8.1,4,0,0,0,0
1/25/2021,77,50,63.5,10.7,1,0,T,0,0
1/24/2021,72,60,66,13.4,0,1,0.06,0,0
1/23/2021,64,53,58.5,6,6,0,0.01,0,0
1/22/2021,79,50,64.5,12.1,0,0,T,0,0
1/21/2021,63,52,57.5,5.2,7,0,0.01,0,0
1/20/2021,53,47,50,-2.2,15,0,0.06,0,0
1/19/2021,72,48,60,7.9,5,0,0.04,0,0
1/18/2021,73,40,56.5,4.5,8,0,T,0,0
1/17/2021,70,38,54,2.1,11,0,0,0,0
1/16/2021,65,33,49,-2.9,16,0,0,0,0
1/15/2021,61,38,49.5,-2.3,15,0,0,0,0
1/14/2021,74,34,54,2.3,11,0,0,0,0
1/13/2021,64,30,47,-4.7,18,0,0,0,0
1/12/2021,49,29,39,-12.6,26,0,0,0,0
1/11/2021,46,32,39,-12.6,26,0,T,0,0
1/10/2021,49,35,42,-9.6,23,0,0.83,0.2,0
1/9/2021,53,32,42.5,-9.1,22,0,T,0,0
1/8/2021,59,35,47,-4.5,18,0,0,0,0
1/7/2021,65,42,53.5,2,11,0,0,0,0
1/6/2021,73,54,63.5,12,1,0,0.01,0,0
1/5/2021,66,47,56.5,4.9,8,0,T,0,0
1/4/2021,77,37,57,5.4,8,0,0,0,0
1/3/2021,69,32,50.5,-1.1,14,0,0,0,0
1/2/2021,62,34,48,-3.6,17,0,0,0,0
1/1/2021,57,34,45.5,-6.2,19,0,0,0,0
